neighborhood,cd,construction_jobs,manufacturing_jobs,wholesale_jobs,pop_black,pop_hispanic,pop_asian,food_services,total_businesses,median_household_income,commute_public_transit,pct_bachelors_plus,borough,total_jobs,total_population_proxy,pct_hispanic,pct_black,pct_asian,nfh_median_income,nfh_poverty_rate,nfh_pct_white,nfh_pct_black,nfh_pct_asian,nfh_pct_hispanic,nfh_goal1_fin_services_score,nfh_goal2_goods_services_score,nfh_goal3_jobs_income_score,nfh_goal4_fin_shocks_score,nfh_goal5_build_assets_score,nfh_overall_score,nfh_goal1_fin_services_rank,nfh_goal2_goods_services_rank,nfh_goal3_jobs_income_rank,nfh_goal4_fin_shocks_rank,nfh_goal5_build_assets_rank,nfh_overall_rank
"Battery Park City, Greenwich Village & Soho",MN01 & MN02,303.0,262.0,727.0,3518.0,10877.0,24407.0,1844.0,18626.0,124389.0,52.693473342724204,83.0,MANHATTAN,1292.0,38802.0,0.28032060203082315,0.09066542961703004,0.6290139683521468,79181,0.088,0.716,0.022,0.159,0.07,7.914247985,10.0,10.0,9.72256636,5.626511329,8.717695703,3,1,1,5,25,2
Chinatown & Lower East Side,MN03,194.0,116.0,325.0,12538.0,40010.0,49433.0,1416.0,8573.0,42223.0,55.308868745757295,43.0,MANHATTAN,635.0,101981.0,0.3923279826634373,0.12294447004834234,0.4847275472882204,25667,0.18,0.331,0.079,0.311,0.249,4.480953055,9.212290273,2.230561839,8.447075588,0.0,3.672505844,11,4,43,8,55,24
"Chelsea, Clinton & Midtown Business District",MN04 & MN05,675.0,1082.0,5029.0,8107.0,21717.0,24230.0,2146.0,32137.0,100097.0,46.74712309417972,75.0,MANHATTAN,6786.0,54054.0,0.40176490176490176,0.14997964997965,0.4482554482554483,65905,0.108,0.609,0.054,0.162,0.146,10.0,9.888136849,9.240777022,10.0,10.0,10.0,1,2,2,1,1,1
"Murray Hill, Gramercy & Stuyvesant Town",MN06,385.0,203.0,1346.0,4353.0,12815.0,24098.0,1318.0,22156.0,106171.0,45.64459930313589,80.0,MANHATTAN,1934.0,41266.0,0.31054621237822905,0.10548635680705666,0.5839674308147143,73067,0.1,0.694,0.032,0.158,0.087,5.970048643,7.427073806,8.787773771,9.997055176,9.236693429,8.366080442,5,9,3,2,4,3
Upper West Side & West Side,MN07,100.0,39.0,132.0,11188.0,27881.0,17822.0,565.0,6406.0,104638.0,67.4601615153361,75.0,MANHATTAN,271.0,56891.0,0.4900775166546554,0.19665676469037283,0.31326571865497177,65844,0.09,0.677,0.06,0.092,0.144,4.942896105,7.592773855,5.895307704,9.81633061,6.909261698,6.620934928,8,7,7,3,12,7
Upper East Side,MN08,129.0,55.0,229.0,6215.0,19962.0,21901.0,698.0,8896.0,109111.0,56.68946806838766,80.0,MANHATTAN,413.0,48078.0,0.4152002995132909,0.12926910437206207,0.455530596114647,71933,0.073,0.761,0.028,0.093,0.09,6.287827099,8.44196172,6.628083617,9.575789085,5.804530594,6.999344814,4,6,5,6,21,4
"Hamilton Heights, Manhattanville & West Harlem",MN09,67.0,11.0,25.0,27583.0,49179.0,10550.0,224.0,1962.0,45765.0,68.09494764664024,46.0,MANHATTAN,103.0,87312.0,0.5632559098405717,0.31591304746197546,0.12083104269745282,24561,0.235,0.286,0.215,0.083,0.379,0.173236124,2.489594462,2.804228667,4.600478436,3.473908893,1.874593734,51,45,33,25,44,44
Central Harlem,MN10,38.0,11.0,9.0,78162.0,32136.0,4440.0,161.0,1270.0,40816.0,74.054494372683,35.0,MANHATTAN,58.0,114738.0,0.28008157715839566,0.6812215656539246,0.038696857187679755,26075,0.211,0.131,0.571,0.032,0.236,2.01629287,4.020708792,2.733092588,5.572345952,3.242535414,2.651484408,37,23,34,21,47,34
East Harlem,MN11,73.0,20.0,25.0,36283.0,55468.0,9618.0,240.0,1721.0,31628.0,70.02541984414718,32.0,MANHATTAN,118.0,101369.0,0.5471889828251241,0.3579299391332656,0.09488107804161035,19510,0.231,0.152,0.298,0.075,0.452,0.948343111,2.83327456,2.81935982,6.461446952,2.84090488,2.336565755,46,42,32,15,49,38
"Washington Heights, Inwood & Marble Hill",MN12,60.0,22.0,48.0,16969.0,153399.0,5864.0,334.0,3049.0,43307.0,65.02299711199059,32.0,MANHATTAN,130.0,176232.0,0.8704378319487948,0.0962878478369422,0.03327432021426302,20421,0.199,0.178,0.078,0.027,0.701,0.03203416,0.0,2.033092328,4.741060441,3.373796809,1.209792505,54,55,47,23,46,48
