neighborhood,cd,borough,area_km2,total_poi,unique_poi,category_diversity,num_retail,food,other,retail,ratio_retail,category_entropy,avg_pedestrian,peak_pedestrian,pedestrian_count_points,subway_station_count,construction_jobs,manufacturing_jobs,wholesale_jobs,pop_black,pop_hispanic,pop_asian,food_services,total_businesses,median_household_income,commute_public_transit,pct_bachelors_plus,total_jobs,total_population_proxy,pct_hispanic,pct_black,pct_asian,poi_density_per_km2,retail_density_per_km2,subway_density_per_km2,commercial_activity_score,transit_activity_score
QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),QN13,QUEENS,353.30669175655186,288.0,260.0,2.0,0.0,57.0,231.0,0.0,0.0,0.4975007113960026,2913.264425594739,9538.568181818182,0.0,0.0,273.0,26.0,67.0,112853.0,23572.0,30312.0,204.0,2419.0,78303.0,32683.0,28.0,366.0,166737.0,0.1413723408721519,0.676832376737017,0.181795282390831,0.8151558029318283,0.0,0.0,0.0,0.0
QN14 The Rockaways (CD 14 Approximation),QN14,QUEENS,189.14060100794077,152.0,143.0,2.0,0.0,36.0,116.0,0.0,0.0,0.5474124685254984,1453.4639175257732,3664.0,1.0,11.0,82.0,9.0,40.0,43236.0,28665.0,4883.0,122.0,1156.0,49451.0,16946.0,27.0,131.0,76784.0,0.3733199624921858,0.5630860595957491,0.063593977912065,0.8036349635666988,0.0,0.0581577934160111,220926.51546391755,15988.103092783505
QN80 LaGuardia Airport (JIA 80 Approximation),QN80,QUEENS,30.59195027604699,5.0,5.0,2.0,0.0,1.0,4.0,0.0,0.0,0.5004024235381879,2913.264425594739,9538.568181818182,0.0,0.0,,,,,,,,,,,,,,,,,0.16344168825074615,0.0,0.0,0.0,0.0
QN81 Flushing Meadows-Corona Park (JIA 81 Approximation),QN81,QUEENS,55.20775451122149,12.0,12.0,1.0,0.0,0.0,12.0,0.0,0.0,-0.0,2913.264425594739,9538.568181818182,0.0,2.0,,,,,,,,,,,,,,,,,0.2173607694469966,0.0,0.03622679490783277,0.0,0.0
QN82 Forest Park (JIA 82 Approximation),QN82,QUEENS,24.009809204728437,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.6931471805599453,2913.264425594739,9538.568181818182,0.0,0.0,,,,,,,,,,,,,,,,,0.08329928750979515,0.0,0.0,0.0,0.0
QN83 JFK International Airport (JIA 83 Approximation),QN83,QUEENS,197.18977064330275,48.0,48.0,2.0,0.0,5.0,43.0,0.0,0.0,0.3341427913871891,2913.264425594739,9538.568181818182,0.0,1.0,,,,,,,,,,,,,,,,,0.24342033485513487,0.0,0.005071256976148643,0.0,0.0
QN84 Jamaica Bay (East) (JIA 84 Approximation),QN84,QUEENS,122.55523485326985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2913.264425594739,9538.568181818182,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
SI01 North Shore (CD 1 Equivalent),SI01,STATEN ISLAND,377.2841342365547,426.0,404.0,2.0,0.0,145.0,281.0,0.0,0.0,0.6412842882088872,658.8127835051547,2244.0,3.0,4.0,351.0,56.0,100.0,37635.0,50711.0,12704.0,255.0,2736.0,60746.0,25732.0,29.0,507.0,101050.0,0.501840672934191,0.3724393864423552,0.1257199406234537,1.1291224871197494,0.0,0.010602089080936614,280654.24577319593,2635.251134020619
SI02 Mid-Island (CD 2 Approximation),SI02,STATEN ISLAND,606.1693669158727,352.0,318.0,2.0,0.0,123.0,229.0,0.0,0.0,0.6470942025164829,328.57731958762884,909.0,2.0,6.0,484.0,47.0,170.0,5121.0,18436.0,16952.0,325.0,3997.0,74942.0,16521.0,31.0,701.0,40509.0,0.4551087412673726,0.1264163519217951,0.4184749068108321,0.5806957909980501,0.0,0.009898223710194037,115659.21649484534,1971.463917525773
SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND,595.4184362179826,294.0,267.0,2.0,4.0,102.0,192.0,0.0,0.013605442176870748,0.6455309973239547,2913.264425594739,9538.568181818182,0.0,11.0,409.0,32.0,106.0,1461.0,16082.0,7805.0,211.0,2485.0,86978.0,17041.0,32.0,547.0,25348.0,0.634448477197412,0.0576376834464257,0.3079138393561622,0.4937704009762416,0.0067179646391325384,0.018474402757614482,0.0,0.0
SI95 Great Kills Park-Fort Wadsworth (JIA 95 Approximation),SI95,STATEN ISLAND,44.74844949728847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2913.264425594739,9538.568181818182,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
