business_name,category,borough,latitude,longitude,poi_type,description
IHOP,pancakes/waffles,QUEENS,40.63559038887,-73.74011777657,restaurant,pancakes/waffles restaurant in QUEENS
ZINGER CHICKEN & GRILL,chicken,BROOKLYN,40.59063334208,-73.96943870372,restaurant,chicken restaurant in BROOKLYN
ACOSTA,latin american,MANHATTAN,40.80033282698,-73.96579515665,restaurant,latin american restaurant in MANHATTAN
FREEMANS,american,MANHATTAN,40.72179089988,-73.9919693873,restaurant,american restaurant in MANHATTAN
KAIZEN,japanese,QUEENS,40.76629061047,-73.83253992922,restaurant,japanese restaurant in QUEENS
BOCCA DI BACCO,italian,MANHATTAN,40.7663049838,-73.98687380995,restaurant,italian restaurant in MANHATTAN
HUDSON MARKET AT SHERATON NEW YORK TIMES SQUARE,american,MANHATTAN,40.76266753415,-73.98209506778,restaurant,american restaurant in MANHATTAN
MILK BAR,bakery products/desserts,MANHATTAN,40.73351951589,-74.0033845668,restaurant,bakery products/desserts restaurant in MANHATTAN
CAS' WEST INDIAN & AMERICAN RESTAURANT,caribbean,BROOKLYN,40.67524145991,-73.94163678924,restaurant,caribbean restaurant in BROOKLYN
LOVELESS COFFEE,coffee/tea,BROOKLYN,40.7007695262,-73.92990765,restaurant,coffee/tea restaurant in BROOKLYN
RED HOOK TAVERN,american,BROOKLYN,40.67792908188,-74.01220380794,restaurant,american restaurant in BROOKLYN
ANGELINA BAKERY,sandwiches/salads/mixed buffet,MANHATTAN,40.76295588217,-73.98307326775,restaurant,sandwiches/salads/mixed buffet restaurant in MANHATTAN
MAMA'S EMPANADAS,latin american,QUEENS,40.75587848167,-73.88235927063,restaurant,latin american restaurant in QUEENS
GUAC TIME MEXICAN GRILL,mexican,STATEN ISLAND,40.61299043044,-74.13074321648,restaurant,mexican restaurant in STATEN ISLAND
ANTOJITOS LA GARNACHA,spanish,BRONX,40.85861760785,-73.90346975813,restaurant,spanish restaurant in BRONX
FUMO SOHO,italian,MANHATTAN,40.72351210149,-74.0033335483,restaurant,italian restaurant in MANHATTAN
AAA KENNEDY FRIED CHICKEN,chicken,STATEN ISLAND,40.63522399838,-74.11733713797,restaurant,chicken restaurant in STATEN ISLAND
TACOS MEXICO,mexican,QUEENS,40.74838635603,-73.86350421709,restaurant,mexican restaurant in QUEENS
THE RED DOORS BAR AND GRILL,american,BROOKLYN,40.57554206325,-73.97989200298,restaurant,american restaurant in BROOKLYN
AVAS'S LIFELINE,vegan,BROOKLYN,40.69192661749,-73.94658761936,restaurant,vegan restaurant in BROOKLYN
SFOGLIA RESTAURANT,italian,MANHATTAN,40.78345071026,-73.95270677708,restaurant,italian restaurant in MANHATTAN
AVOCADO SUSHI,asian/asian fusion,STATEN ISLAND,40.61335619827,-74.15843790611,restaurant,asian/asian fusion restaurant in STATEN ISLAND
TACO BELL,tex-mex,MANHATTAN,40.76268726552,-73.98579878546,restaurant,tex-mex restaurant in MANHATTAN
SAI'S CAFE,bakery products/desserts,BROOKLYN,40.63298931897,-74.00568165293,restaurant,bakery products/desserts restaurant in BROOKLYN
EATZY THAI,thai,QUEENS,40.7611476182,-73.92361698942,restaurant,thai restaurant in QUEENS
