neighborhood,cd,borough,area_km2,avg_pedestrian,peak_pedestrian,pedestrian_count_points,subway_station_count,shooting_incident_count,storefront_filing_count,construction_jobs,manufacturing_jobs,wholesale_jobs,pop_black,pop_hispanic,pop_asian,total_population_proxy,food_services,total_businesses,median_household_income,commute_public_transit,pct_bachelors_plus,total_jobs,category_diversity,category_entropy,subway_density_per_km2,storefront_density_per_km2,commercial_activity_score,competitive_score,transit_activity_score
BX26 Van Cortlandt Park (JIA 26 Equivalent),BX26,BRONX,4.706343511677337,2298.6666666666665,4097.0,0.0,0.0,0,0,114.0,19.5,41.5,40637.0,90453.5,3694.5,132638.5,148.5,1580.0,34586.0,61.03986376183108,15.5,168.5,0,0.0,0.0,0.0,0.0,0.0,0.0
BX27 Bronx Park (JIA 27 Approximation),BX27,BRONX,3.108628460018795,2298.6666666666665,4097.0,0.0,0.0,0,0,114.0,19.5,41.5,40637.0,90453.5,3694.5,132638.5,148.5,1580.0,34586.0,61.03986376183108,15.5,168.5,0,0.0,0.0,0.0,0.0,0.0,0.0
BX28 Pelham Bay Park (JIA 28 Approximation),BX28,BRONX,9.22357816640541,2298.6666666666665,4097.0,0.0,0.0,0,0,114.0,19.5,41.5,40637.0,90453.5,3694.5,132638.5,148.5,1580.0,34586.0,61.03986376183108,15.5,168.5,0,0.0,0.0,0.0,0.0,0.0,0.0
MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN,4.161890212499567,3876.714285714286,9071.0,7.0,16.0,0,0,303.0,262.0,727.0,3518.0,10877.0,24407.0,38802.0,1844.0,18626.0,124389.0,52.69347334272421,83.0,1292.0,0,0.0,3.844407032157306,0.0,0.0,0.0,11.035348084282228
MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN,3.524420832473445,4025.7777777777774,8744.0,3.0,13.0,0,0,114.5,47.0,180.5,11863.0,30008.5,19861.5,72101.5,631.5,7489.5,72931.0,60.85623259018912,60.5,342.0,0,0.0,3.6885493015533495,0.0,0.0,0.0,10.865441872809981
MN03 Lower East Side-Chinatown (CD 3 Equivalent),MN03,MANHATTAN,4.366125895099494,2410.583333333333,4381.0,2.0,6.0,0,0,194.0,116.0,325.0,12538.0,40010.0,49433.0,101981.0,1416.0,8573.0,42223.0,55.308868745757295,43.0,635.0,0,0.0,1.3742159855569793,0.0,0.0,0.0,9.57945265061855
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),MN04,MANHATTAN,4.464369099448424,3853.0833333333335,10873.0,2.0,6.0,0,0,675.0,1082.0,5029.0,8107.0,21717.0,24230.0,54054.0,2146.0,32137.0,100097.0,46.74712309417972,75.0,6786.0,0,0.0,1.3439748968653384,0.0,0.0,0.0,10.048431696254884
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN,3.66331215950583,8363.666666666666,24359.0,12.0,19.0,0,0,114.5,47.0,180.5,11863.0,30008.5,19861.5,72101.5,631.5,7489.5,72931.0,60.85623259018912,60.5,342.0,0,0.0,5.186563190007549,0.0,0.0,0.0,11.976097478444668
MN06 East Midtown-Murray Hill (CD 6 Approximation),MN06,MANHATTAN,4.004357464026675,5338.733333333334,13836.0,5.0,4.0,0,0,385.0,203.0,1346.0,4353.0,12815.0,24098.0,41266.0,1318.0,22156.0,106171.0,45.64459930313589,80.0,1934.0,0,0.0,0.9989118194202641,0.0,0.0,0.0,9.969084887931993
MN07 Upper West Side (CD 7 Approximation),MN07,MANHATTAN,5.054715663802368,3031.75,5566.0,2.0,8.0,0,0,100.0,39.0,132.0,11188.0,27881.0,17822.0,56891.0,565.0,6406.0,104638.0,67.4601615153361,75.0,271.0,0,0.0,1.5826805169852158,0.0,0.0,0.0,10.096378060679317
