neighborhood,cd,borough,storefront_filing_count,act_ACCOUNTING_SERVICES_storefront,act_BROADCASTING_TELECOMM_storefront,act_EDUCATIONAL_SERVICES_storefront,act_FINANCE_AND_INSURANCE_storefront,act_FOOD_SERVICES_storefront,act_HEALTH_CARE_OR_SOCIAL_ASSISTANCE_storefront,act_INFORMATION_SERVICES_storefront,act_LEGAL_SERVICES_storefront,act_MANUFACTURING_storefront,act_MOVIES_VIDEO_SOUND_storefront,act_NO_BUSINESS_ACTIVITY_IDENTIFIED_storefront,act_PUBLISHING_storefront,act_REAL_ESTATE_storefront,act_RETAIL_storefront,act_UNKNOWN_storefront,act_WHOLESALE_storefront,act_other_storefront
QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),QN07,QUEENS,12191,82,113,1352,326,1526,679,56,191,101,49,315,409,567,3101,53,860,2411
QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),QN08,QUEENS,4174,34,24,420,127,696,301,19,75,60,19,85,160,173,1055,12,207,707
QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),QN09,QUEENS,3463,22,9,325,62,378,267,8,85,31,15,138,130,174,760,19,232,808
QN10 South Ozone Park-Howard Beach (CD 10 Approximation),QN10,QUEENS,3280,35,16,407,61,400,207,24,50,14,18,125,98,122,932,6,154,611
QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),QN11,QUEENS,4720,54,9,552,157,606,284,12,95,37,10,82,132,210,1163,10,288,1019
QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),QN12,QUEENS,6133,81,40,887,95,637,258,35,98,60,32,237,111,218,1743,26,375,1200
QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),QN13,QUEENS,4166,26,23,443,92,472,208,28,42,54,10,162,76,434,942,17,289,848
QN14 The Rockaways (CD 14 Approximation),QN14,QUEENS,1923,12,4,213,72,247,147,0,29,10,7,63,76,68,543,8,99,325
SI01 North Shore (CD 1 Equivalent),SI01,STATEN ISLAND,5389,61,50,571,146,633,297,12,88,47,17,198,134,246,1315,28,378,1168
SI02 Mid-Island (CD 2 Approximation),SI02,STATEN ISLAND,5165,60,8,660,157,597,273,26,120,29,17,140,131,329,1416,17,237,948
SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND,4526,28,20,514,124,587,201,9,67,28,12,107,91,228,1196,15,318,981
